MATRICULA;RAZON SOCIAL;MUN-COMERCIAL;EMAIL-COMERCIAL;CIIU-1;ACTIVIDAD
104950;PRODUCTOS NATURALES SAN PABLO;76147 - CARTAGO;fundesco7@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS NATURALES  CACHARRERIA Y ELECTRODOMESTICOS MENORES
105114;TIENDA NATURISTA HOJA SANTA;76250 - EL DOVIO;j-andres1993@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE MEDICINA NATURAL  BOTÁNICOS  HOMEOPÁTICOS  PRODUCTOS ESOTÉRICOS
105131;MAGIC STORE 17;76147 - CARTAGO;glambelleza17@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS CAPILARES Y DE BELLEZA.
105206;DISTRIBUIDORA R.C;76147 - CARTAGO;carolinayanetmejia@gmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;COMERCIO AL POR MAYOR DE PRODUCTOS COSMÉTICOS  FARMACEUTICOS  PRENDAS DE VESTIR  ACCESORIOS  CALZADO  Y EN GENERAL  TODA CLASE DE PRODUCTOS NO ESPECIALIZADOS
105216;TIENDA NATURISTA NUTRIVIDA LA UNION;76400 - LA UNION;marisaja66@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;LAS ACTIVIDADES DE LAS TIENDAS NATURISTAS.
105226;DISTRITRUVY;76147 - CARTAGO;creditexcartago@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
105253;FARMATIENDA PROFAMILIAR;76400 - LA UNION;contabilidad@dasamtour.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
105270;VITALPHARMA;76147 - CARTAGO;vitalpharma@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
105297;DROGUERIA VITAL MEDIC LA ITALIA;27660 - SAN JOSE DE PALMAR;sanchezcruzyalida@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
105327;AUDIFARMA OBANDO;76497 - OBANDO;notificacionesmercantiles@audifarma.com.co;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y DE TOCADOR
105409;COMERCIALIZADORA DISTRIVAL VALLE;76147 - CARTAGO;distrivalcom@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
105430;CENTRO NATURISTA SIEMPRE VIVA NATURAL;76020 - ALCALA;luisfernandolopezarango6@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
105519;BLUA COSMETIC STORE;76147 - CARTAGO;shirna197927@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA AL POR MENOR DE PRODUCTOS COSMETICOS
105568;VIDA VERDE TIENDA SALUDABLE;76147 - CARTAGO;saylor1023@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACION DE PRODUCTOS NUTRICIONALES Y SALUDABLES
105594;VALENSY BEAUTY STORE;76147 - CARTAGO;valentinajimenezrincon@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO DE PRODUCTOS DE BELLEZA
105609;MAGIC QUEEN BELLEZA;76400 - LA UNION;maria.paula.lara@correounivalle.edu.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACION DE PRODUCTO DE BELLEZA.
105615;PLANTAS MEDICINALES Y PRODUCTOS EXOTERICOS EL PAISA;76147 - CARTAGO;torresjennifer085@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS MEDICINALES Y EXOTERICOS
105640;BELLEZA Y GLAMOUR; YOPAL;luadcrutre@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS COSMETICOS Y PELUQUERIA
105842;TIENDA NATURISTA SOY SALUD;76863 - VERSALLES;molobe_17@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y ARTICULOS DE INODORO EN ESTABLECIMIENTOS ESPECIALIZADOS
105909;DIAMOND NAILS AND SPA;76147 - CARTAGO;aprendizcruzeduardo@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA
105916;DIOL-ARTESANA;76400 - LA UNION;d_patricia77@hotmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;COMERCIALIZACIÓN DE PRODUCTOS ARTESANALES  JABONES Y ACEITES HERBALES. ATREVES DE INTERNET Y REDES SOCIALES
105975;DROGUERIA EL FARMACEUTICO;76400 - LA UNION;drogueriaelfarmaceutico2022@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS FARMACEUTICOS
106050;BLACKMEN SEDUCTION;76147 - CARTAGO;menap1315@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA AL POR MENOR DE PERFUMES  PRENDAS DE VESTIR Y SUS ACCESORIOS POR MEDIO DE INTERNET.
106218;AFRODITA PERFUMERIA;76054 - ARGELIA;janier985@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;PERFUMERIA
106279;DROGAS UNION;76054 - ARGELIA;yenniacosta.1213@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA
106285;FARMACIA CENTRAL CARTAGO;76147 - CARTAGO;farmacentral0123@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;FARMACIA-DROGUERIA
106368;SANA Q SANA;76622 - ROLDANILLO;wilsonvinasco18@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
106430;BELLEZA ENCANTADORA;76147 - CARTAGO;pao.andr@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE ARTICULOS DE TOCADOR Y COSMETICOS  ACTIVIDADES JURÍDICAS  SEGUROS GENERALES Y OTROS TIPOS DE EDUCACIÓN N.C.P.
106441;ANALÚ COSMETICOS;76622 - ROLDANILLO;anaarias9417@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE COSMETICOS Y VARIEDADES
106535;DROGUERIA SAN JOSE G.E; YOPAL;luzelenaa626@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
106707;BY BEAUTY LISIL;76250 - EL DOVIO;rodriguezcardona1980@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE COSMETICOS JOYERIA Y PERFUMERIA
106859;VITAL MEDIC LA ARGELIA;76054 - ARGELIA;amanluz989@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERÍA - Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
106871;PRETTY ROSE COSMETICS;76020 - ALCALA;dahianacardona290@gmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;VENTA DE PRODUCTOS DE BELLEZAS Y ACCESORIOS
106886;DROGUERIA EL CARMEN;76147 - CARTAGO;dianamarin0613@gmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y DE TOCADOR
106979;PASSIFLORA TIENDA SALUDABLE;76147 - CARTAGO;drgarcia@unitecnica.net;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
107013;GENESIS DISTRIBUIDORA;76147 - CARTAGO;vanesaarias27@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;comercializacion de productos de belleza
107089;COMERCIALIZADORA SOPT;76147 - CARTAGO;neris892016@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;TIENDA NATURISTA - OTROS TIPOS DE COMERCIO AL POR MENOR NO REALIZADO EN ESTABLECIMIENTOS  PUESTOS DE VENTA O MERCADOS
107114;EL PADRINO JUAN;76147 - CARTAGO;elpadrinojuan2020@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS NATURISTAS Y EXOTéRICOS  - OTRAS ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO N.C.P.
107140;DROGUERIA SUPER EXITO #9;76497 - OBANDO;drogassuperexito01@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
107205;DROGUERIA CRUZ VERDE SOS CARTAGO CENTRO;76147 - CARTAGO;notificacionesjudiciales@cruzverde.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
107213;TIENDA MANANTIAL DE VIDA MEDICAMENTOS DE CALIDAD;76400 - LA UNION;gavosboutique@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales
107434;DROGUERIA DUCUARA;76147 - CARTAGO;jhohanaperez@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA
107440;LA REBAJA PLUS DROGUERIA NO 3 CARTAGO;76147 - CARTAGO;copservir@copservir.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y de tocador en establecimientos especializados
107466;CLAC TIENDA DE BELLEZA;76020 - ALCALA;samyveca3149@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA
107522;STAY HIGH;76147 - CARTAGO;belenobligaciones@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;SMOKE  LIQUIDOS  HOMEOPATICOS Y MEDICINAL
107524;STAY HIGH SHOP;76400 - LA UNION;belenobligaciones@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;venta de smoke  liquidos  homeopaticos  medicinal
107570;DROGUERIA Y MULTISERVICIOS J & M;76622 - ROLDANILLO;milepul817@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
107581;ANDREA GARCIA MAQUILLAJE & ACCESORIOS;76622 - ROLDANILLO;atgarciag1@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;venta de maquillaje  y accesorios
107593;PERFUMERIA WICCA;76147 - CARTAGO;perfumeriawicca@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Elaboracion y comercializacion de perfumes
107665;COSMETIQUERIA SALUD Y BELLEZA VIP 2;76622 - ROLDANILLO;jeyfer_ol@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMPRA Y VENTA DE PRODUCTOS COSMETICOS Y ARTICULOS DE TOCADOR
107666;DROGUERIA M & M LA UNION;76400 - LA UNION;anhyelmarcela@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACéUTICOS Y MEDICINALES  COSMéTICOS Y ARTíCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
107751;FARMACIA SU SALUD H.I.S; YOPAL;sandraruiza0327@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;FARMACIA
108043;TIENDA LIGA CONTRA EL CANCER RISARALDA;76147 - CARTAGO;director.juridico@ligacancerrisaralda.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;TIENDA DE PRODUCTOS DERMOCOSMETICOS Y ACCESORIOS PARA EL CUIDADO Y PREVENCION DE LA PIEL
108063;ECOMFARMA 2;76147 - CARTAGO;ecomfarmasas@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados  Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados
108260;SURTIVALLE DEL NORTE;76622 - ROLDANILLO;fabioquinteroarenas@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;insumos intrahospitalarios  drogas naturista alto costo y de uso personal
108270;ERES DISTRIBUIDORA DE MAQUILLAJE;76147 - CARTAGO;vannesa_0213@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;venta de maquillaje y productos capilares
108284;MATIZ COSMETICS;76147 - CARTAGO;nataliepq2626@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACéUTICOS Y MEDICINALES  COSMéTICOS Y ARTíCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
108353;SUPLEMENTACION DEPORTIVA & VITAMINAS;76622 - ROLDANILLO;linamarcelahenao1988@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;venta de proteinas y vitaminas
108580;BELLAS NATURALMENTE;76147 - CARTAGO;bellasnatu@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
108608;NATURAL SPORT FITNESS;76054 - ARGELIA;eduardomeji82@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
108638;ANAWAA NATURAL;76400 - LA UNION;anawaacare@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
108873;PALO E´ ROSA BY EMYLY MENDOZA;76622 - ROLDANILLO;dahiana-342@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;TIENDA DE COSMETICOS  MAQUILLAJE Y BELLEZA
108922;DROGUERIA EL LIMONAR;76147 - CARTAGO;y-uliana01@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
108957;DROGUERIA CRUZ VERDE ROLDANILLO;76622 - ROLDANILLO;notificacionesjudiciales@cruzverde.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
108997;DROGUERIA LA FAVORITA MR;76020 - ALCALA;gabrielrodas1010@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA-SERVICIO DE INYECTOLOGIA-MEDICAMENTOS Y PRODUCTOS POPULARES-PERFUMERIA
109043;DROGUERIA ECOFARMA GUERREROS; YOPAL;erikaguerrero0387@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;FARMACIA
109104;DROGUERIA VALENCIA CARTAGO;76147 - CARTAGO;fabiorincon288@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
109107;DROGUERIA LA ECONOMICA JC;76250 - EL DOVIO;lorenahernandez2009@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Venta de productos farmacéuticos  cosméticos  aseo
10912;DROGUERIA LA OCTAVA ROLDANILLO;76622 - ROLDANILLO;anamilenabueno@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
109147;LUAN DISTRIBUIDORA;76147 - CARTAGO;todobellezaluan@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
109177;TIENDA NATURISTA SALUD YERBABUENA; YOPAL;marthaceciliaf65@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
109181;INSUMOS ORTOPEDICOS BALANCE INTEGRAL;76622 - ROLDANILLO;jhoa0194@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de insumos ortopedicos  Actividades de apoyo terapeutico.
109280;OHANA LA VICTORIA; YOPAL;carolinarebellon09@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
109319;VARIEDADES H-H EL CAIRO;76246 - EL CAIRO;claudelena72@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;venta de productos de belleza y otros productos diferentes de alimentos
109489;VITAL MEDIC SALUD Y BIENESTAR; YOPAL;aoc88@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMPRA Y VENTA DE MEDICAMENTOS NATURALES - ATENCION MEDICA- TRATAMIENTOS- BRIGADAS Y CAPACITACIONES
109576;AUTENTICAS SHOP;76020 - ALCALA;vaab95@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;comercializacion de maquillaje y cosmeticos.
109597;DROGUERÍA GUADALUPE D.L.R 2; YOPAL;mairaflorez08@icloud.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
109620;DROGUERIA LA GALERIA;76622 - ROLDANILLO;simondsc2020@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados  Actividades postales nacionales  venta de dulcería y accesorios  Comercio al por menor realizado a traves de internet
109623;DROGUERIA PANORAMA DE OBANDO;76497 - OBANDO;kokonina241829@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA Y VARIEDADES
109635;MATICES SHOP COSMETIC;76622 - ROLDANILLO;juanmserna20@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos  cosméticos y artículos de tocador
109682;DROGUERIA LOS ANGELES CARTAGO;76147 - CARTAGO;losangelesdrogueriacartago@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
109748;DROGUERIA ANSERMANUEVO;76041 - ANSERMANUEVO;gloriabeve@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
109813;YERBERITO CENTRO; YOPAL;normanmauriciohernandezgarcia@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
109962;ANYELA JIMENEZ TIENDA DE BELLEZA;76250 - EL DOVIO;anyelalf.7@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA  COSMETICOS  PRODUCTOS DE TOCADOR Y ACCESORIOS
109986;GM INSUMOS ODONTOLOGICOS;76622 - ROLDANILLO;gminsumos850@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor y al por mayor de insumos  equipos odontológicos   ortésicos y protésicos.
110035;BODY FUEL;76622 - ROLDANILLO;davidruizpanesso@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DEPORTIVOS  PROTEINAS Y ALIMENTOS SALUDABLE
110061;POLARIS CARTAGO;76147 - CARTAGO;katherine6091999@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;MISCELANEA
110240;PERFUMERIA DESTELLOS Y AROMAS;76147 - CARTAGO;lmsalazar@iegabo.edu.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;comercializacion de perfumes  lociones y fragancias
110342;NATURALES SAYVI CARTAGO;76147 - CARTAGO;sayvi2013@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados Comercio al por mayor de productos farmacéuticos  medicinales  cosméticos y de tocador
110504;ELEFANTADOS MAQUILLAJE Y ACCESORIOS;76400 - LA UNION;danirgranada@outlook.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE MAQUILLAJE Y ACCESORIOS
110561;DROGUERIA CRUZ VERDE LLANO CARTAGO;76147 - CARTAGO;notificacionesjudiciales@cruzverde.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
110590;INSUMOS MEDICO QUIRURGICOS DL;76622 - ROLDANILLO;diegowh1106@hotmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;comercio al por mayor y al por menor de insumos medico  quirúrgicos  productos odontológicos y de aseo.
110635;CASA BELLEZA;76147 - CARTAGO;caro.castillo.a@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
