ORGANIZACIÓN JURÍDICA,CATEGORÍA,RAZÓN SOCIAL,NIT,DIRECCIÓN,BARRIO,TELÉFONO CONTACTO,EMAIL,PERSONAL,LATITUD,LONGITUD,LOCALIZACIÓN
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO 8 YOPAL,8300116703,CALLE 24 8 - 87,00043 - BRR LA CAMPINA,6086342543,copservir@copservir.com,3,5.3326092,-72.4049046,POINT (-72.4049046 5.3326092)
SOCIEDAD LIMITADA,AGENCIA,DROGAS LA ECONOMIA YOPAL 3,8605145925,CALLE 10 N 19-14,00026 - BRR EL CENTRO,6359629,dpdarriendos@gmail.com,3,5.3462892,-72.4005488,POINT (-72.4005488 5.3462892)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA Nº96,8902087889,CALLE 16 N  16  04,00045 - BRR LA ESPERANZA,6347437,asiscontabmanga@unidrogas.net.co,2,5.3404813,-72.4004546,POINT (-72.4004546 5.3404813)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA Nº97,8902087889,CALLE 24 N  20  03,00075 - BRR PROVIVIENDA,6348525,asiscontabmanga@unidrogas.net.co,4,5.3358961,-72.3938655,POINT (-72.3938655 5.3358961)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA Nº98,8902087889,CALLE 30 N 14  03,00088 - BRR VILLA ROCIO,6344734,asiscontabmanga@unidrogas.net.co,4,5.3282554,-72.3980002,POINT (-72.3980002 5.3282554)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA 105,8902087889,CARRERA 29 20-76,00086 - BRR VILLA MARIA,6333863,asiscontamanga@unidrogas.net.co,3,5.3424879,-72.3874616,POINT (-72.3874616 5.3424879)
ESTABLECIMIENTO,No Aplica,TU SEXO SENTIDO SEXSHOP,11185443102,CALLE 10 N 24-95,00026 - BRR EL CENTRO,3108064520,ledystorres22@gmail.com,2,5.3495794,-72.3955534,POINT (-72.3955534 5.3495794)
ESTABLECIMIENTO,No Aplica,DENTAL SURTIDENT,94328858,CARRERA 21 N. 6-69,00077 - BRR SAN MARTIN,3138733260,dentalsurtidentyopal@gmail.com,1,5.3503611,-72.4007106,POINT (-72.4007106 5.3503611)
ESTABLECIMIENTO,No Aplica,MAXIDROGAS YOPAL,112540437,TRANVERSAL 23 N 36 B 21,00031 - BRR EL MASTRANTO,3133670607,naza2926@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,PANORAMA NATURAL   SALUD FARMACY,474372004,CALLE 11 N 18 - 91,00026 - BRR EL CENTRO,3102154436,claudiaisaza_2210@hotmail.com,1,5.345575,-72.4005471,POINT (-72.4005471 5.345575)
ESTABLECIMIENTO,No Aplica,DROGUERIA LA CHAPARRERA,522518628,AVENIDA MARGINAL N. 5-270,00158 - CORREGIMIENTO LA CHAPARRERA,3123780394,mati-0119@hotmail.com,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA FARMA ORIENTE DEL LLANO,730092099,CALLE 9 N 18 09,00026 - BRR EL CENTRO,3102017320,jporrasrobles@gmail.com,3,5.3466772,-72.4024098,POINT (-72.4024098 5.3466772)
ESTABLECIMIENTO,No Aplica,DROGUERIA DALAFARMA 2,798633298,CARRERA 1A N 60-03,00286 - BRR BOSQUES DE SAN MARTIN,3112925027,estibenandresleonruiz05@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA FULL SALUD,73641812,CARRERA 13 33B 28,00115 - BRR NUEVO HABITAT I,3103577863,sebasgua05@hotmail.com,2,5.325139,-72.3982521,POINT (-72.3982521 5.325139)
ESTABLECIMIENTO,No Aplica,SAYBELL DROGUERIA,530095021,CALLE 60 N 6 OESTE 23 MANZANA D CASA 13,00097 - BRR LLANO LINDO,3115739248,llanerita2422@hotmail.com,2,5.3035643,-72.4196514,POINT (-72.4196514 5.3035643)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,NATURQUALITY S.A.S,9010605529,CALLE 9 N  23  06,00026 - BRR EL CENTRO,6358080,tesoreria@bionaturalcenter.com,11,5.3493383,-72.397627,POINT (-72.397627 5.3493383)
ESTABLECIMIENTO,No Aplica,CENTRO NATURISTA DE ORIGEN NATURAL,741817937,CALLE 16 NRO. 18 - 56,00026 - BRR EL CENTRO,3115743479,tejedormarlonalberto@gmail.com,0,5.3413027,-72.3984906,POINT (-72.3984906 5.3413027)
ESTABLECIMIENTO,No Aplica,SURTIDROGAS FERNANDO IVAN Nº 35,9009793209,CARRERA 25 NO. 12 - 82,00026 - BRR EL CENTRO,3184300778,contador@medisfarma.com.co,1,5.3472166,-72.3942937,POINT (-72.3942937 5.3472166)
ESTABLECIMIENTO,No Aplica,DROGUERIA LA CONSULTA YOPAL,882147838,CARRERA 44C N 38 57,00092 - BRR VILLA LUCIA,3232380547,laconsulta.drogueria@gmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA MEGAFARMA YOPAL,11185485859,CARRERA 11 N 43 - 76,00072 - BRR PROGRESO I,3213115620,megafarmayopal@gmail.com,2,5.3154647,-72.3986913,POINT (-72.3986913 5.3154647)
ESTABLECIMIENTO,No Aplica,FARMA SALUD DROGUERIAS,474333803,CALLE 44  N. 6 - 90,00114 - BRR MONTECARLO,3123098733,dennis302608@hotmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA FAMILIAR CYM,129759033,CARRERA 7 NO 43 44,00114 - BRR MONTECARLO,3133559180,familiarcym2703@gmail.com,1,5.3154652,-72.4021522,POINT (-72.4021522 5.3154652)
ESTABLECIMIENTO,No Aplica,DROGUERIA LA MARCA REAL,474372219,CARRERA 29 N. 17A-70,00150 - BRR JUAN PABLO,3112247218,norawx.19@gmail.com,2,5.3453941,-72.3885818,POINT (-72.3885818 5.3453941)
ESTABLECIMIENTO,No Aplica,DEPOSITO DENTAL C.O,228190386,CARRERA 19 N 9 65 PISO 2,00026 - BRR EL CENTRO,3107828022,xiomaraortegallorente@hotmail.com,1,5.3469303,-72.400825,POINT (-72.400825 5.3469303)
ESTABLECIMIENTO,No Aplica,TIENDA NATURISTA EL MARAÑON 2 Y.A,11166420798,CARRERA 22 N 11 63,00005 - BRR BELLO HORIZONTE,3202436968,yulicate79@hotmail.com,2,5.3466851,-72.3971925,POINT (-72.3971925 5.3466851)
ESTABLECIMIENTO,No Aplica,DROGUERIA PRINCIPAL MORICHAL,11185363986,CARRERA 03  NRO. 02 - 30 / C.P. DE MORICHAL,00182 - CORREGIMIENTO MORICHAL,3138013952,dianapatricia_1810@hotmail.com,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,CROMANTIC - UNICENTRO YOPAL,9003652054,CARRERA 29 NO.14 - 47 LOCAL 2-37 UNICENTRO YOPAL CASANARE,00090 - BRR EL HOBO,7455947,admon.financiera@prosalon.com.co,2,5.3478142,-72.390272,POINT (-72.390272 5.3478142)
ESTABLECIMIENTO,No Aplica,D-ARIS ODONTOLOGÍA ESPECIALIZADA,10154048575,CALLE 13 N. 21A - 33,00026 - BRR EL CENTRO,3144731174,aristo-1015@hotmail.com,1,5.345319,-72.3968697,POINT (-72.3968697 5.345319)
ESTABLECIMIENTO,No Aplica,MARCH ESSENCE,377257082,CALLE 42 N 1  127,00152 - SENDEROS DE MANARE,3107638102,nemage79@hotmail.com,2,5.3181118,-72.4128717,POINT (-72.4128717 5.3181118)
ESTABLECIMIENTO,No Aplica,BIG STAR FARMACIA MINIMARKET DROGUERIA,474412601,CARRERA 1 N. 34  - 170,00093 - BRR LOS OCOBOS,3232107647,edithacevedo2301@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,CENTRO NATURISTA NATURQUALITY YP,9010605529,CALLE 9 23 06,00026 - BRR EL CENTRO,3214979833,corporativoleonardo@hotmail.com,10,5.3493383,-72.397627,POINT (-72.397627 5.3493383)
ESTABLECIMIENTO,No Aplica,DROGUERIA FARMALIDER YOPAL,11185387901,CARRERA 20 N. 14 - 68,00005 - BRR BELLO HORIZONTE,3213841031,yoyixlan88@hotmail.com,3,5.3430391,-72.3980259,POINT (-72.3980259 5.3430391)
ESTABLECIMIENTO,No Aplica,DISTRIBUIDORA Y DROGUERIA AHORRE MAS DEL LLANO VITAL NATURE,336464425,TRANSVERSAL 7 N. 32-28,00115 - BRR NUEVO HABITAT I,3118196519,danielromeroherrera98@gmail.com,1,5.3242341,-72.4027167,POINT (-72.4027167 5.3242341)
ESTABLECIMIENTO,No Aplica,MEGADROGAS YOPAL,No Aplica,CALLE 6 19 72,00077 - BRR SAN MARTIN,3212407642,megadrogas@hotmail.com,0,5.3502353,-72.4020718,POINT (-72.4020718 5.3502353)
ESTABLECIMIENTO,No Aplica,DROGUERIA C&M,740813720,CARRERA 43NRO.35_35,00128 - BRR BOSQUES DE SIRIVANA,3118239625,martuchagomez06@gmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,RUIZ & CORDOBA S.A.S,9011384947,DIAGONAL 9 N. 12 - 230 LOCAL 114,00137 - CONJUNTO RESIDENCIAL LA DECISION,6328639,ruiz2cordoba@hotmail.com,6,5.3497707,-72.3948407,POINT (-72.3948407 5.3497707)
ESTABLECIMIENTO,No Aplica,CASANAREÑA DE BELLEZA,9012593971,CARRERA 20  16-26,00005 - BRR BELLO HORIZONTE,3105147731,alcorgroupsas@gmail.com,1,5.3488714,-72.4005067,POINT (-72.4005067 5.3488714)
ESTABLECIMIENTO,No Aplica,DROGUERIA ECOFARMA JG,234679826,CARRERA 42 N 33-03,00130 - BRR LLANO VARGAS,3115215693,mairagrosso@gmail.com,1,5.3394227,-72.3739239,POINT (-72.3739239 5.3394227)
ESTABLECIMIENTO,No Aplica,PERFUCASANARE,682470854,CARRERA 23 N 19 40,00030 - BRR EL GAVAN,3133618280,mayecar73@hotmail.com,1,5.3409999,-72.3929844,POINT (-72.3929844 5.3409999)
ESTABLECIMIENTO,No Aplica,VACA LOKA VANIDOSAS,404280502,CARRERA 13  30-04,00012 - BRR CASIQUIARE I,3102153563,adrivallcastell@hotmail.com,0,5.3235985,-72.3979461,POINT (-72.3979461 5.3235985)
ESTABLECIMIENTO,No Aplica,FARMAETICA LLANO LINDO,9006434813,CALLE 60 1F OESTE MZ C CS1,00097 - BRR LLANO LINDO,3138559005,farmaeticallanolindo@gmail.com,1,5.3026253,-72.4100657,POINT (-72.4100657 5.3026253)
ESTABLECIMIENTO,No Aplica,TIENDA NATURISTA MANANTIAL DE VIDA FC,287826061,CARRERA 20 NO. 9-29,00026 - BRR EL CENTRO,3105745476,llanerita2422@hotmail.com,1,5.3476178,-72.4001697,POINT (-72.4001697 5.3476178)
ESTABLECIMIENTO,No Aplica,FARMA DESCUENTOS J&C,401894333,CARRERA 17 N. 22 - 11,00045 - BRR LA ESPERANZA,6332305,jeca4019@hotmail.com,0,5.3358696,-72.3971409,POINT (-72.3971409 5.3358696)
ESTABLECIMIENTO,No Aplica,DROGUERIA SOCIAL COPH,95337520,CARRERA 19 N 12 10,00026 - BRR EL CENTRO,3204556027,drogueriasocialsoph@gmail.com,0,5.3445378,-72.3998998,POINT (-72.3998998 5.3445378)
ESTABLECIMIENTO,No Aplica,VETERINARIA YOPAL,915266284,CALLE 11 N. 18 - 23,00026 - BRR EL CENTRO,3124026673,williambahamon@hotmail.com,0,5.3452845,-72.4009777,POINT (-72.4009777 5.3452845)
ESTABLECIMIENTO,No Aplica,DROGUERIA COPISALUD DF,474333803,CALLE 24 N 27- 77,00085 - BRR VILLA DEL SOL,6349897,dennis302608@hotmail.com,0,5.3395246,-72.3872873,POINT (-72.3872873 5.3395246)
ESTABLECIMIENTO,No Aplica,COMERCIAL POR EVERLIFE CASANARE,10803619867,CARRERA 29 N 18- 03 LOCAL  105,00057 - BRR LOS HELECHOS,3045329999,sneyderpst@gmail.com,1,5.3449389,-72.3885898,POINT (-72.3885898 5.3449389)
ESTABLECIMIENTO,No Aplica,ORGANIC NAILS YOPAL,11218291663,CALLE 7 Nro. 21-14 SEGUNDO PISO,00026 - BRR EL CENTRO,3222298436,pancha_9011@hotmail.com,3,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DUAL INSUMOS Y SUMINISTROS,747708355,MANZANA 128 CASA 45 LA BENDICION,00118 - CIUDADELA LA BENDICION,3105578518,dualinsumosysuministros@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERÍA LA 24 YOPAL,11185461491,CALLE 24 10-02,00043 - BRR LA CAMPINA,3108822910,cecilia5233@hotmail.com,1,5.3327325,-72.4036373,POINT (-72.4036373 5.3327325)
ESTABLECIMIENTO,No Aplica,ANIMAL PETS YOPAL,11218337184,CALLE 29 A N 14 03,00088 - BRR VILLA ROCIO,3137794312,animalpetyopal@gmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA ECONOMAX YOPAL,285771118,CARRERA 23 N 24 - 69,00046 - BRR LA FLORESTA,3213157329,karime_callejas@hotmail.com,2,5.3369404,-72.3905597,POINT (-72.3905597 5.3369404)
ESTABLECIMIENTO,No Aplica,DROGUERIA SUPER COMUNITARIA,334803690,CARRERA 27 N 22 16,00039 - BRR EL SALITRE,3142336219,nancy33480@gmail.com,2,5.3403777,-72.3886061,POINT (-72.3886061 5.3403777)
ESTABLECIMIENTO,No Aplica,H&O DROGUERÍAS,142021354,CARRERA 23 N. 12 - 15 LOCAL 1,00059 - BRR LOS LIBERTADORES,3148689979,hyocontabilidad1@gmail.com,0,5.3466269,-72.3959939,POINT (-72.3959939 5.3466269)
ESTABLECIMIENTO,No Aplica,DROGUERIA PAGUE MENOS YOPAL,41222931,CALLE 14 N 28 13,00135 - BRR PUERTO AMARILLA,3144105769,tibaduizajorge1@gmail.com,0,5.347606,-72.391354,POINT (-72.391354 5.347606)
ESTABLECIMIENTO,No Aplica,DISTRIBUIDORA TU BELLEZA,11185700193,CARRERA 19 N 12 31 SRGUNDO PISO,00033 - BRR EL PARAISO,3127955652,rodrivansuarez@hotmail.com,1,5.3445977,-72.3995601,POINT (-72.3995601 5.3445977)
ESTABLECIMIENTO,No Aplica,DISTRIBUIDORA DE BELLEZA FEMENNY B.L.C,11185340294,CALLE 30 N. 29-09,00084 - BRR VILLA BENILDA,3107571723,yorleidyvidal@gmail.com,2,5.3355004,-72.3826428,POINT (-72.3826428 5.3355004)
ESTABLECIMIENTO,No Aplica,FARMARED PLUS DROGUERIAS # 3,94305173,CARRERA 19 N 8 - 96,00026 - BRR EL CENTRO,3208400009,williamruiz_11@hotmail.com,0,5.347355,-72.4013854,POINT (-72.4013854 5.347355)
ESTABLECIMIENTO,No Aplica,DR. EDGAR DINAS MEDICINA ANTIENVEJECIMIENTO Y ESTETICA AVANZADA,914731016,CARRERA 28 N. 15 - 20,00057 - BRR LOS HELECHOS,3105307598,ealbertod@hotmail.com,1,5.3465303,-72.390885,POINT (-72.390885 5.3465303)
ESTABLECIMIENTO,No Aplica,CONSULTORIO MEDICO SANDRA BRICEÑO,466709005,CRA 23NRO.12 43 EDIFICIO MEDICENTER CONSULTORIO 303,00059 - BRR LOS LIBERTADORES,3134237284,drasybc@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,CLINICA ODONTOLOGICA Y ESTETICA DR RIVAS,11185461588,CARRERA 24 N 11-69,00149 - BRR EL LIBERTADOR,3102883216,nicolas-2212@hotmail.com,2,5.3476511,-72.395187,POINT (-72.395187 5.3476511)
ESTABLECIMIENTO,No Aplica,CENTRO NATURISTA VIDA,236234129,CARRERA 20 N 9-74,00026 - BRR EL CENTRO,3138477384,tiendanaturistavida@hotmail.com,1,5.3471536,-72.4003064,POINT (-72.4003064 5.3471536)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,GRUPO EMPRESARIAL E INVERSIONES ALFONSO CORTES S.A.S,9012593971,CARRERA 20 16-26,00005 - BRR BELLO HORIZONTE,3105147731,alcorgroupsas@gmail.com,11,5.3488714,-72.4005067,POINT (-72.4005067 5.3488714)
ESTABLECIMIENTO,No Aplica,LHA DISTRIBUIDOR EXCLUSIVO SAS,9012133670,CENTRO COMERCIAL LA HERRADURA MODULO AZUL LOCAL 218,00026 - BRR EL CENTRO,3108624047,lhadistribuidorexclusivosas@gmail.com,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,SUCURSAL,CLINISUMINISTROS SAS,9010655238,CARRERA 21 27-74,00075 - BRR PROVIVIENDA,3112264198,clinisuministros1@gmail.com,29,5.3331839,-72.3916751,POINT (-72.3916751 5.3331839)
ESTABLECIMIENTO,No Aplica,DROGUERÍA EL ESPECIALISTA,9013762704,CALLE 60 CARRERA 4 A - 12 MANZANA G CASA 11,00097 - BRR LLANO LINDO,3108188106,inversionesjc@gmail.com,1,5.3015117,-72.406423,POINT (-72.406423 5.3015117)
ESTABLECIMIENTO,No Aplica,TU AROMA PERFUMERÍA BAR,94335161,CENTRO COMERCIAL EL HOBO LOCAL 110 CARRERA 29 N 20 25,00090 - BRR EL HOBO,3218249926,tuaromaperfumeriabar@gmail.com,0,5.3447222,-72.3886111,POINT (-72.3886111 5.3447222)
ESTABLECIMIENTO,No Aplica,ROUSSE BOUTIQUE DE BELLEZA,11185517444,CARRERA 21 N. 10 - 06,00026 - BRR EL CENTRO,3213968458,deisyjt_26@hotmail.com,2,5.3471698,-72.3990197,POINT (-72.3990197 5.3471698)
ESTABLECIMIENTO,No Aplica,DROGUERIA MINIMARKET VALEIDY,474302270,CARRERA 13 N 30 - 52,00012 - BRR CASIQUIARE I,3112171828,drogvaleidy@gmail.com,3,5.3275485,-72.3990859,POINT (-72.3990859 5.3275485)
ESTABLECIMIENTO,No Aplica,DROGUERIA S&T,854740178,CALLE 24 N 29-74,00058 - BRR LOS HEROES,3182099989,lactorito@hotmail.com,1,5.3402526,-72.3857161,POINT (-72.3857161 5.3402526)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,FARMAMEDIQ ESPECIALIZADA S.A.S,9013074594,CARRERA 22 N 5 144,00077 - BRR SAN MARTIN,3107659213,farmamediqespecializada@gmail.com,3,5.3515605,-72.4004007,POINT (-72.4004007 5.3515605)
ESTABLECIMIENTO,No Aplica,DROGUERIA FARMACOR DEL LLANO,474304134,CALLE 30B N 12A - 60,00014 - BRR CASIQUIARE III,3142917225,chelo_roalar@hotmail.com,1,5.3275639,-72.3994068,POINT (-72.3994068 5.3275639)
ESTABLECIMIENTO,No Aplica,TU FARMACIA VIDA Y SALUD,336464006,CL 30 11 63,00012 - BRR CASIQUIARE I,3123088290,farmaciavidaysalud4@gmail.com,1,5.3330083,-72.3874401,POINT (-72.3874401 5.3330083)
ESTABLECIMIENTO,No Aplica,DROGUERIA MARTINEZ FARMA,11159129726,CALLE 6 N 21 95,00077 - BRR SAN MARTIN,3204152475,nhori1890@hotmail.com,2,5.3514767,-72.4004856,POINT (-72.4004856 5.3514767)
ESTABLECIMIENTO,No Aplica,ESENCIAS YOPAL,9006525690,CARRERA 29 N. 14 - 47,00007 - BRR BRISAS DEL CRAVO,3006933316,fandrea.villa@gmail.com,1,5.3478142,-72.390272,POINT (-72.390272 5.3478142)
ESTABLECIMIENTO,No Aplica,NEVOA LA 40,9016205364,CALLE 40 N. 11-89,00078 - BRR SAN MATEO,3214375070,nevoa.fragancia.yopal@gmail.com,1,5.3182565,-72.3982442,POINT (-72.3982442 5.3182565)
ESTABLECIMIENTO,PRINCIPAL,AGENCIA DISCOLMEDICA SEDE YOPAL,8280024235,CALLE 10 24-40,00068 - BRR MARIA PAZ,3174615516,yopal.discolmedica@gmail.com,924,5.3489501,-72.3957962,POINT (-72.3957962 5.3489501)
ESTABLECIMIENTO,No Aplica,DROGUERÍA AHORRE MAS DEL LLANO,11165508583,TRANSVERSAL 7 NRO. 32 - 28,00115 - BRR NUEVO HABITAT I,6333137,andrea.romero9507@gmail.com,1,5.3242341,-72.4027167,POINT (-72.4027167 5.3242341)
ESTABLECIMIENTO,No Aplica,LH SAS BOUTIQUE MEDICA YOPAL,9002943801,CR 14 26 24 OF 101 ED CENTRO EMPRESARIAL PASSOS,00105 - BRR ARAGUANEY,6076972333,lh.contabilidad@lineashospitalarias.com,4,5.3314133,-72.3989697,POINT (-72.3989697 5.3314133)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGERIA NO 10 YOPAL,8300116703,CALLE 40 9B-30,00051 - BRR LAGUITO,6334390,copservir@copservir.com,3,5.3189196,-72.4104545,POINT (-72.4104545 5.3189196)
ESTABLECIMIENTO,No Aplica,CENTRO DE ESTETICA INTEGRAL JAZMIN,10412627628,CRA 23Nro.19-35,00006 - BRR BICENTENARIO,3166233517,yerid2009@hotmail.com,0,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,DROGUERIA FENIX ECONOMIA,474290258,CALLE 30 N 13A  12,00014 - BRR CASIQUIARE III,3233302755,ireneort@hotmail.com,0,5.3281732,-72.399207,POINT (-72.399207 5.3281732)
ESTABLECIMIENTO,No Aplica,BIHOSPHARMA SEDE YOPAL,9012253088,TRANSVERSAL 18 N 7- 05  PISO 5,00049 - BRR LA PRADERA,3203165870,info@bihospharma.com,0,5.3487151,-72.4025087,POINT (-72.4025087 5.3487151)
ESTABLECIMIENTO,No Aplica,DROGUERIA PEDIATRIFARMA,94317515,CALLE 16 N 17 11 ESQUINA,00005 - BRR BELLO HORIZONTE,3204753848,isayojaramillo@hotmail.com,1,5.3410356,-72.3997679,POINT (-72.3997679 5.3410356)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,GRUPO S.V. MONARCA S.A.S,9013684112,DIAGONAL 9 NRO 9-76,00026 - BRR EL CENTRO,6334876,ortomonarca_yopal@yahoo.es,3,5.3499096,-72.3957781,POINT (-72.3957781 5.3499096)
ESTABLECIMIENTO,No Aplica,MAJESTUOSA MAQUILLAJE,10011909518,CALLE 24 N 27 65,00085 - BRR VILLA DEL SOL,3204910890,yurianlizethperezporras@gmail.com,1,5.3395564,-72.3873114,POINT (-72.3873114 5.3395564)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,APADRINANDO JD S.A.S,9013762704,MANZANA B CASA 11,00097 - BRR LLANO LINDO,3108188106,inversionesjc@gmail.com,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,NEVOA LA 19,9016205364,CALLE 19 N. 9A-32,00026 - BRR EL CENTRO,3123527412,nevoa.fragancia.yopal@gmail.com,1,5.335274,-72.4044772,POINT (-72.4044772 5.335274)
ESTABLECIMIENTO,No Aplica,DISTRIBUIDORA DE BELLEZA Y VARIEDADES NORMA AQÑA,10756558738,CARRERA 7 Nro. 29 - 76,00033 - BRR EL PARAISO,3005860858,teamomisamue@hotmail.com,1,5.3267433,-72.4042013,POINT (-72.4042013 5.3267433)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,FARMAORTOPEDICOS SAS,9013861771,CARRERA 21 N 9 38 LOCAL 104,00026 - BRR EL CENTRO,3135175839,farmaortopedicoss.a.s@gmail.com,0,5.3477742,-72.3995421,POINT (-72.3995421 5.3477742)
ESTABLECIMIENTO,No Aplica,SAYBELL 2  DROGUERIA,860145700,CARRERA 14 A NO. 39-51,00054 - BRR LOS ALMENDROS,3125153912,lopezcarvajaleliceo@gmail.com,2,5.3191254,-72.3953643,POINT (-72.3953643 5.3191254)
ESTABLECIMIENTO,No Aplica,PERFUMERIA DULCE AROMA ESTILO Y ACCESORIOS,237263804,CARRERA 14 N 18-61,00045 - BRR LA ESPERANZA,3224067393,sayda21jaramillo@gmail.com,2,5.3376263,-72.4012608,POINT (-72.4012608 5.3376263)
ESTABLECIMIENTO,No Aplica,DFM - BATALLON DE ASPC NO. 16 TE. WILLIAM RAMIR. YOPAL,8923006787,TRANSVERSAL 18 KILÓMETRO 7 VÍA MARGINAL DE LA SELVA,00077 - BRR SAN MARTIN,6349890,jbustos@eticos.com,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,CENTRO DE REFUERZOS  Y ASESORIAS ESCOLARES MANITAS CREATIVAS,463770781,CALLE 23 NRO. 27 - 12,00085 - BRR VILLA DEL SOL,3219404752,luzdary.buitragom@gmail.com,1,5.3397779,-72.38803,POINT (-72.38803 5.3397779)
ESTABLECIMIENTO,No Aplica,DROGUERIA MONTSERRAT,463567723,CAR 29 N 34 22,00136 - BRR LOS LAURELES,3025647323,nessanch@gmail.com,2,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,MARCAZSALUD SEDE YOPAL,9009285658,CALLE 19 NRO. 23 - 14,00006 - BRR BICENTENARIO,3134263041,milena.castellanos@marcazsalud.com.co,1,5.3411972,-72.3930592,POINT (-72.3930592 5.3411972)
ESTABLECIMIENTO,No Aplica,COMERCIALIZADORA NATURISTA MEDICAL HERBAL,10656241265,CARRERA 18 A N 24 35,00075 - BRR PROVIVIENDA,3124208861,yibeth.lopez@hotmail.com,2,5.3363532,-72.3964228,POINT (-72.3964228 5.3363532)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,SUCURSAL,SUCURSAL FARMAMEDIQ ESPECIALIZADA SEDE PARAISO,9013074594,CARRERA 7 28-42,00033 - BRR EL PARAISO,3107659213,farmamediqespecializada@gmail.com,3,5.3278088,-72.4050301,POINT (-72.4050301 5.3278088)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,DROGUERIA PRO VITALIS MINIMARKET S.A.S.,9014049250,CARRERA 20 NRO. 27-02,00075 - BRR PROVIVIENDA,3108129477,farmaciaprovitalis@hotmail.com,1,5.3332964,-72.3926432,POINT (-72.3926432 5.3332964)
ESTABLECIMIENTO,No Aplica,DROGUERIA PRO VITALIS MINIMARKET SAS,9014049250,CARRERA 20 NRO. 27-02,00075 - BRR PROVIVIENDA,3108129477,farmaciaprovitalis@hotmail.com,1,5.3332964,-72.3926432,POINT (-72.3926432 5.3332964)
ESTABLECIMIENTO,No Aplica,MY TOUCH PERFUMERIA ALCARAVAN,9008859077,CALLE 30 NO. 26 - 29,00124 - BRR COMFACASANARE,3024435378,administracion@mytoch.com.co,1,5.3356725,-72.3858424,POINT (-72.3858424 5.3356725)
ESTABLECIMIENTO,No Aplica,DROGUERIA FARMASALUDABLE YOPAL,747704298,CARRERA 29 NRO. 22 - 03,00009 - BRR CARIBABARE,6354871,pharmasaludrogueria@gmail.com,1,5.3417039,-72.3867045,POINT (-72.3867045 5.3417039)
ESTABLECIMIENTO,No Aplica,DROGUERIA ELISALUD YOPAL,11185346895,CARRERA 22 NRO. 14 - 70,00005 - BRR BELLO HORIZONTE,3227454816,rosy.r@hotmail.es,1,5.3441355,-72.3961275,POINT (-72.3961275 5.3441355)
ESTABLECIMIENTO,No Aplica,FARMADOMICILIOS BY DROGUERIA YOPAL,10575712960,CALLE 9 NRO. 22 - 01,00026 - BRR EL CENTRO,3213045522,derlypreciado@gmail.com,0,5.3488203,-72.3986621,POINT (-72.3986621 5.3488203)
